7	4	0
8	3	6
10	3	6
15	7	2
16	5	6
19	6	1
20	1	2
22	3	6
28	1	2
29	2	2
35	3	5
38	1	1
43	3	5
44	1	5
47	6	4
58	7	2
60	4	1
66	6	4
69	1	1
70	6	1
72	6	3
75	5	2
78	1	3
79	3	3
81	1	5
93	3	6
96	1	1
97	6	6
99	7	1
100	3	4
105	2	6
110	1	5
112	3	0
114	6	3
115	3	0
118	3	1
119	6	4
120	3	3
124	7	1
125	6	1
126	1	5
127	6	1
129	3	6
130	6	3
131	3	5
132	2	6
136	4	0
141	7	1
142	2	5
146	7	3
150	1	1
152	1	1
154	7	1
156	7	4
159	7	5
161	1	5
164	1	5
165	1	1
167	1	5
168	1	3
169	1	5
173	5	6
174	6	3
177	3	1
185	3	4
187	6	6
191	1	4
195	7	3
196	7	2
197	3	6
198	1	1
201	3	4
202	1	1
204	3	6
206	6	1
210	5	6
211	5	6
219	5	6
220	6	3
221	3	6
222	1	5
223	6	0
225	5	3
226	5	6
232	6	4
233	2	5
234	6	0
237	1	4
238	5	6
240	7	2
248	3	6
249	4	5
251	1	6
252	3	4
256	1	6
258	6	2
262	3	6
272	6	3
273	1	6
274	5	6
278	3	4
280	6	2
284	3	5
285	1	1
291	3	5
292	1	4
293	3	5
298	6	4
299	6	4
307	6	4
310	1	5
311	7	4
318	1	6
325	1	6
327	6	1
328	3	4
329	7	1
330	6	4
331	7	4
344	5	5
346	3	0
347	3	6
348	3	5
349	3	5
358	3	3
359	1	5
361	3	5
367	7	1
369	7	1
371	3	5
374	1	1
377	3	4
383	1	4
392	2	5
400	3	6
404	4	4
405	6	2
408	1	3
411	6	1
419	7	2
420	3	4
421	1	4
422	1	5
430	3	0
431	1	2
432	3	5
435	7	4
437	6	3
438	3	5
439	3	4
440	7	0
443	1	6
447	6	1
448	1	5
449	3	4
450	3	3
455	7	0
458	6	0
460	6	1
462	1	3
463	1	4
464	6	4
470	7	5
472	3	5
473	3	5
476	3	5
478	2	4
480	5	6
481	7	1
492	7	5
497	6	4
499	6	2
506	1	4
511	7	5
517	1	5
518	7	1
522	1	4
525	2	3
527	3	6
532	5	3
533	4	5
536	6	3
537	6	1
543	3	4
545	1	2
549	1	2
553	3	3
556	6	1
558	6	1
560	3	3
562	6	0
563	3	5
567	3	5
568	1	5
572	1	5
573	6	0
577	3	4
578	7	0
579	6	0
582	6	2
583	3	0
586	3	3
587	4	6
595	4	4
596	1	2
597	6	3
611	6	2
613	6	4
614	7	3
615	6	6
616	3	5
617	7	5
619	7	1
623	3	6
626	6	1
628	3	1
629	6	1
630	3	5
633	5	6
635	3	4
638	1	4
642	1	2
643	6	3
645	3	5
646	6	0
648	3	4
652	3	3
655	3	6
657	1	6
659	2	4
660	6	6
662	7	5
664	7	3
665	6	0
666	3	1
669	6	2
670	3	3
671	1	2
672	3	5
674	3	5
675	3	5
676	6	4
682	7	5
683	5	3
687	7	1
689	3	0
690	7	1
691	7	5
693	1	4
696	6	3
697	6	3
702	5	3
703	3	4
704	3	5
706	1	3
708	3	1
713	7	3
721	7	5
725	3	1
728	6	1
729	7	5
733	7	1
734	3	1
735	5	6
739	6	1
740	7	1
742	7	4
745	3	3
748	1	2
752	1	6
753	7	2
754	6	3
755	7	1
757	7	1
759	7	2
760	2	3
762	3	5
764	6	2
766	3	1
769	1	2
772	7	1
774	3	0
775	7	0
778	6	4
780	5	1
781	7	4
782	3	1
785	5	5
786	3	3
793	5	3
798	7	3
807	7	1
808	6	2
810	6	6
812	3	5
817	7	4
823	7	2
824	7	2
825	6	3
827	6	1
828	6	2
829	3	3
830	3	5
832	7	4
834	7	1
837	7	4
838	3	0
841	5	2
844	4	5
846	7	1
848	3	1
854	1	3
855	3	4
856	7	1
861	7	1
868	1	5
870	5	5
872	1	6
873	7	4
878	7	1
879	3	1
881	7	3
883	1	3
884	7	1
885	3	4
888	6	1
890	3	1
892	7	5
894	7	4
895	6	1
896	5	6
900	3	3
901	7	1
904	6	6
905	3	0
906	1	1
912	1	4
913	3	1
914	3	4
915	6	6
917	3	1
919	7	3
920	3	4
921	7	0
923	2	5
924	6	6
930	1	3
931	3	4
940	7	5
941	1	6
956	1	1
958	1	3
963	1	3
966	7	5
970	3	5
971	3	4
973	5	2
976	7	4
977	7	5
979	1	3
981	6	3
983	7	2
984	3	5
985	2	4
989	1	4
991	2	5
993	3	3
994	3	0
997	6	1
1000	6	3
1001	6	1
1004	7	5
1007	6	1
1012	7	5
1013	1	1
1015	7	2
1018	3	3
1026	7	4
1027	7	5
1030	3	5
1037	1	6
1039	6	3
1041	3	1
1048	3	1
1050	5	6
1051	1	3
1053	3	0
1056	2	5
1058	3	1
1064	2	4
1066	6	3
1069	1	2
1071	2	3
1072	3	4
1073	3	4
1074	7	3
1079	7	2
1080	6	0
1081	7	5
1085	7	3
1086	3	3
1088	1	2
1091	3	1
1094	6	6
1095	3	5
1098	3	5
1100	3	6
1101	7	3
1102	6	3
1108	3	6
1110	5	6
1111	3	4
1113	7	3
1115	3	6
1117	3	1
1119	7	2
1124	6	2
1125	3	4
1129	3	5
1131	3	6
1134	3	3
1136	6	1
1137	6	4
1139	7	0
1141	3	4
1143	6	6
1145	3	4
1146	7	1
1152	6	2
1155	3	4
1156	7	1
1157	3	4
1162	3	6
1163	6	6
1169	1	3
1171	3	1
1175	7	2
1177	6	2
1178	5	6
1179	7	0
1180	6	6
1182	7	4
1184	6	6
1187	3	6
1188	5	0
1189	4	1
1190	6	6
1191	3	3
1192	5	5
1195	7	4
1197	6	3
1198	6	1
1200	3	3
1204	6	4
1205	6	6
1206	6	3
1207	3	5
1210	3	4
1211	7	1
1214	6	3
1221	3	5
1222	2	0
1223	7	1
1226	6	1
1227	1	3
1237	3	6
1240	6	6
1241	1	5
1242	5	3
1245	3	0
1246	7	4
1247	7	2
1251	7	0
1254	3	1
1255	3	5
1256	1	6
1258	0	4
1259	7	4
1260	1	5
1265	6	2
1268	7	4
1269	7	5
1270	7	4
1271	6	4
1272	7	4
1273	7	3
1275	3	3
1278	1	1
1281	1	6
1282	7	4
1286	3	3
1287	1	3
1288	2	5
1289	3	4
1291	3	4
1296	2	0
1297	6	3
1300	3	6
1304	3	3
1306	3	4
1315	3	6
1316	3	1
1318	3	5
1319	6	4
1321	3	4
1322	6	6
1323	3	4
1324	2	4
1327	3	0
1328	6	3
1329	3	4
1332	1	6
1333	6	3
1335	3	4
1338	5	5
1340	6	1
1346	4	4
1347	6	3
1359	6	4
1366	1	5
1370	2	6
1371	6	3
1378	2	5
1380	6	6
1382	4	6
1385	3	3
1388	3	4
1389	1	1
